epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,937.211,0.36658,0.33258,0.89455,0.35556,0.73333,0.72391,0.54764,1.23517,1.6338,1.35522,2.5102e-05,2.5102e-05,2.5102e-05
73,954.107,0.42179,0.37803,0.96837,0.35556,0.73333,0.72391,0.54764,1.23517,1.6338,1.35522,2.46073e-05,2.46073e-05,2.46073e-05
74,967.018,0.35484,0.37627,0.92429,0.35556,0.73333,0.72391,0.54764,1.23517,1.6338,1.35522,2.40891e-05,2.40891e-05,2.40891e-05
75,979.096,0.59628,0.40181,1.19315,0.74415,0.63333,0.72303,0.54526,1.2369,1.62744,1.35662,2.35472e-05,2.35472e-05,2.35472e-05
76,991.485,0.28673,0.26105,0.88103,0.74415,0.63333,0.72303,0.54526,1.2369,1.62744,1.35662,2.29819e-05,2.29819e-05,2.29819e-05
77,1003.85,0.44355,0.3943,0.99233,0.74415,0.63333,0.72303,0.54526,1.2369,1.62744,1.35662,2.23929e-05,2.23929e-05,2.23929e-05
78,1015.08,0.51091,0.4807,1.02685,0.79457,0.59935,0.72419,0.54042,1.24221,1.61325,1.36301,2.17805e-05,2.17805e-05,2.17805e-05
79,1026.66,0.31658,0.28424,0.90111,0.79457,0.59935,0.72419,0.54042,1.24221,1.61325,1.36301,2.11444e-05,2.11444e-05,2.11444e-05
80,1037.89,0.2777,0.27055,0.86453,0.79457,0.59935,0.72419,0.54042,1.24221,1.61325,1.36301,2.04848e-05,2.04848e-05,2.04848e-05
81,1049.05,0.43531,0.36888,1.01923,0.80401,0.58926,0.72295,0.52637,1.24388,1.64025,1.36196,1.98016e-05,1.98016e-05,1.98016e-05
82,1060.13,0.336,0.26046,0.88742,0.80401,0.58926,0.72295,0.52637,1.24388,1.64025,1.36196,1.90949e-05,1.90949e-05,1.90949e-05
83,1071.4,0.31255,0.30167,0.926,0.80401,0.58926,0.72295,0.52637,1.24388,1.64025,1.36196,1.83646e-05,1.83646e-05,1.83646e-05
84,1082.71,0.29405,0.26621,0.92691,0.81049,0.58333,0.7279,0.54197,1.24189,1.6679,1.35206,1.76107e-05,1.76107e-05,1.76107e-05
85,1093.86,0.33293,0.30031,0.91535,0.81049,0.58333,0.7279,0.54197,1.24189,1.6679,1.35206,1.68333e-05,1.68333e-05,1.68333e-05
86,1105.1,0.49533,0.48215,1.16465,0.81049,0.58333,0.7279,0.54197,1.24189,1.6679,1.35206,1.60323e-05,1.60323e-05,1.60323e-05
87,1116.32,0.47398,0.36647,1.03752,0.81049,0.58333,0.7279,0.54197,1.24189,1.6679,1.35206,1.52077e-05,1.52077e-05,1.52077e-05
88,1127.59,0.38861,0.3654,1.01399,0.81673,0.58333,0.73131,0.54617,1.23721,1.70645,1.34637,1.43596e-05,1.43596e-05,1.43596e-05
89,1138.53,0.44009,0.40249,1.01477,0.81673,0.58333,0.73131,0.54617,1.23721,1.70645,1.34637,1.34879e-05,1.34879e-05,1.34879e-05
90,1149.96,0.35644,0.29606,0.90377,0.81673,0.58333,0.73131,0.54617,1.23721,1.70645,1.34637,1.25927e-05,1.25927e-05,1.25927e-05
91,1161.11,0.21983,0.18497,0.91376,0.81673,0.58333,0.73131,0.54617,1.23721,1.70645,1.34637,1.16739e-05,1.16739e-05,1.16739e-05
92,1172.39,0.22295,0.21046,0.76008,0.82381,0.58333,0.73125,0.54759,1.24519,1.73718,1.33936,1.07315e-05,1.07315e-05,1.07315e-05
93,1183.53,0.32482,0.25861,0.98619,0.82381,0.58333,0.73125,0.54759,1.24519,1.73718,1.33936,9.76562e-06,9.76562e-06,9.76562e-06
94,1194.72,0.28448,0.1967,0.88954,0.82381,0.58333,0.73125,0.54759,1.24519,1.73718,1.33936,8.77613e-06,8.77613e-06,8.77613e-06
95,1205.93,0.54358,0.3823,1.10364,0.82381,0.58333,0.73125,0.54759,1.24519,1.73718,1.33936,7.76308e-06,7.76308e-06,7.76308e-06
96,1217.38,0.22427,0.21119,0.87324,0.84358,0.58333,0.73044,0.54054,1.23813,1.77473,1.33916,6.72648e-06,6.72648e-06,6.72648e-06
97,1228.49,0.20752,0.1739,0.82879,0.84358,0.58333,0.73044,0.54054,1.23813,1.77473,1.33916,5.6663e-06,5.6663e-06,5.6663e-06
98,1239.58,0.30136,0.2098,0.89599,0.84358,0.58333,0.73044,0.54054,1.23813,1.77473,1.33916,4.58257e-06,4.58257e-06,4.58257e-06
99,1251.75,0.23008,0.20276,0.82954,0.84358,0.58333,0.73044,0.54054,1.23813,1.77473,1.33916,3.47528e-06,3.47528e-06,3.47528e-06
100,1264.51,0.24807,0.19715,0.82271,0.83681,0.58333,0.72821,0.5411,1.23207,1.77749,1.32979,2.34442e-06,2.34442e-06,2.34442e-06
