2025-11-10 13:56:09 [INFO] [Worker] Inference done | req_id=66 | Time=0.43s
2025-11-10 13:56:09 [INFO] [Worker] Running YOLO inference | req_id=67 | expId=44
2025-11-10 13:56:09 [INFO] [Receiver] Received image | req_id=72 | Queue size=5
2025-11-10 13:56:10 [INFO] [Worker] Inference done | req_id=67 | Time=0.44s
2025-11-10 13:56:10 [INFO] [Worker] Running YOLO inference | req_id=68 | expId=44
2025-11-10 13:56:10 [INFO] [Receiver] Received image | req_id=73 | Queue size=5
2025-11-10 13:56:10 [INFO] [Worker] Inference done | req_id=68 | Time=0.43s
2025-11-10 13:56:10 [INFO] [Worker] Running YOLO inference | req_id=69 | expId=44
2025-11-10 13:56:10 [INFO] [Receiver] Received image | req_id=74 | Queue size=5
2025-11-10 13:56:10 [INFO] [Worker] Inference done | req_id=69 | Time=0.44s
2025-11-10 13:56:10 [INFO] [Worker] Running YOLO inference | req_id=70 | expId=44
2025-11-10 13:56:10 [INFO] [Receiver] Received image | req_id=75 | Queue size=5
2025-11-10 13:56:11 [INFO] [Worker] Inference done | req_id=70 | Time=0.44s
2025-11-10 13:56:11 [INFO] [Worker] Running YOLO inference | req_id=71 | expId=44
2025-11-10 13:56:11 [INFO] [Receiver] Received image | req_id=76 | Queue size=5
2025-11-10 13:56:11 [INFO] [Worker] Inference done | req_id=71 | Time=0.45s
2025-11-10 13:56:11 [INFO] [Worker] Running YOLO inference | req_id=72 | expId=44
2025-11-10 13:56:11 [INFO] [Receiver] Received image | req_id=77 | Queue size=5
2025-11-10 13:56:12 [INFO] [Worker] Inference done | req_id=72 | Time=0.44s
2025-11-10 13:56:12 [INFO] [Worker] Running YOLO inference | req_id=73 | expId=44
2025-11-10 13:56:12 [INFO] [Receiver] Received image | req_id=78 | Queue size=5
2025-11-10 13:56:12 [INFO] [Worker] Inference done | req_id=73 | Time=0.44s
2025-11-10 13:56:12 [INFO] [Worker] Running YOLO inference | req_id=74 | expId=44
2025-11-10 13:56:12 [INFO] [Receiver] Received image | req_id=79 | Queue size=5
2025-11-10 13:56:13 [INFO] [Worker] Inference done | req_id=74 | Time=0.44s
2025-11-10 13:56:13 [INFO] [Worker] Running YOLO inference | req_id=75 | expId=44
2025-11-10 13:56:13 [INFO] [Receiver] Received image | req_id=80 | Queue size=5
2025-11-10 13:56:13 [INFO] [Worker] Inference done | req_id=75 | Time=0.44s
