2025-12-22 16:34:43 [INFO] === Starting network test ===
2025-12-22 16:35:05 [INFO] Ping to 8.8.8.8: 14.56 ms
2025-12-22 16:35:05 [INFO] Download Speed: 52.50 Mbps
2025-12-22 16:35:05 [INFO] Upload Speed: 21.17 Mbps
2025-12-22 16:35:05 [INFO] Initializing YOLO model...
2025-12-22 16:38:45 [INFO] Running iteration 28/60 | FPS=20
2025-12-22 16:38:46 [INFO] Running iteration 29/60 | FPS=20
2025-12-22 16:38:46 [INFO] Running iteration 30/60 | FPS=20
2025-12-22 16:38:47 [INFO] Running iteration 31/60 | FPS=20
2025-12-22 16:38:48 [INFO] Running iteration 32/60 | FPS=20
2025-12-22 16:38:48 [INFO] Running iteration 33/60 | FPS=20
2025-12-22 16:38:49 [INFO] Running iteration 34/60 | FPS=20
2025-12-22 16:38:49 [INFO] Running iteration 35/60 | FPS=20
2025-12-22 16:38:50 [INFO] Running iteration 36/60 | FPS=20
2025-12-22 16:38:51 [INFO] Running iteration 37/60 | FPS=20
2025-12-22 16:38:51 [INFO] Running iteration 38/60 | FPS=20
2025-12-22 16:38:52 [INFO] Running iteration 39/60 | FPS=20
2025-12-22 16:38:52 [INFO] Running iteration 40/60 | FPS=20
2025-12-22 16:38:53 [INFO] Running iteration 41/60 | FPS=20
2025-12-22 16:38:54 [INFO] Running iteration 42/60 | FPS=20
2025-12-22 16:38:54 [INFO] Running iteration 43/60 | FPS=20
2025-12-22 16:38:55 [INFO] Running iteration 44/60 | FPS=20
2025-12-22 16:38:56 [INFO] Running iteration 45/60 | FPS=20
2025-12-22 16:38:56 [INFO] Running iteration 46/60 | FPS=20
2025-12-22 16:38:57 [INFO] Running iteration 47/60 | FPS=20
2025-12-22 16:38:57 [INFO] Running iteration 48/60 | FPS=20
2025-12-22 16:38:58 [INFO] Running iteration 49/60 | FPS=20
2025-12-22 16:38:59 [INFO] Running iteration 50/60 | FPS=20
2025-12-22 16:38:59 [INFO] Running iteration 51/60 | FPS=20
2025-12-22 16:39:00 [INFO] Running iteration 52/60 | FPS=20
2025-12-22 16:39:01 [INFO] Running iteration 53/60 | FPS=20
2025-12-22 16:39:01 [INFO] Running iteration 54/60 | FPS=20
2025-12-22 16:39:02 [INFO] Running iteration 55/60 | FPS=20
